Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:31:42 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6	10	9	5	2
character 128	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
character 129	0:0.22372092; 1:0.77627908	0:0.62952621; 1:0.37047379	0:0.67409811; 1:0.32590189	0:0.64093209; 1:0.35906791	0:0.67834664; 1:0.32165336
character 131	0:0.8591251; 1:0.1408749	0:0.12172258; 1:0.87827742	0:0.20148886; 1:0.79851114	0:0.41511614; 1:0.58488386	0:0.43982353; 1:0.56017647
character 133	0:0.99859055; 1:0.00140945	0:0.95584952; 1:0.04415048	0:0.99351363; 1:0.00648637	0:0.99885615; 1:0.00114385	0:0.99870495; 1:0.00129505
character 134	0:0.90591531; 1:0.09408469	0:0.58896083; 1:0.41103917	0:0.59925114; 1:0.40074886	0:0.76694173; 1:0.23305827	0:0.79814358; 1:0.20185642
character 135	0:0.81655701; 1:0.18344299	0:0.62249065; 1:0.37750935	0:0.66660178; 1:0.33339822	0:0.63693524; 1:0.36306476	0:0.59357874; 1:0.40642126
character 137	0:0.08537079; 1:0.91462921	0:0.99756249; 1:0.00243751	0:0.9951073; 1:0.0048927	0:0.97541987; 1:0.02458013	0:0.98490926; 1:0.01509074
character 138	0:0.25128664; 1:0.74871336	0:0.53810044; 1:0.46189956	0:0.60112595; 1:0.39887405	0:0.58461285; 1:0.41538715	0:0.62102323; 1:0.37897677
character 139	0:0.26886034; 1:0.73113966	0:0.48264867; 1:0.51735133	0:0.43012931; 1:0.56987069	0:0.44743352; 1:0.55256648	0:0.4747273; 1:0.5252727
character 140	0:0.99849706; 1:0.00150294	0:0.99302843; 1:0.00697157	0:0.97648413; 1:0.02351587	0:0.99679486; 1:0.00320514	0:0.99759726; 1:0.00240274
