Mesquite version 3.40 (build 877)   Date: Sat Oct 13 21:30:07 BRT 2018
Window refers to project with home file character_file.nex
File path: /Users/vwraposo/Documents/USP/TCC/code/input/peptides/
=======================

Trace All Characters

Ancestral States:
Reconstructed Ancestral States (Likelihood Ancestral States)
using:
Stored Matrix: Matrix in file "character_file.nex"
======================================
Ancestral states are listed by character and by node on the tree.  Node numbers are shown in red on the tree drawing.

Char.\Node	6
character 408	0:0.5; 1:0.5
character 409	0:0.5; 1:0.5
character 410	0:0.9036519; 1:0.0963481
character 411	0:0.14758506; 1:0.85241494
character 412	0:0.04055226; 1:0.95944774
character 413	0:0.99796466; 1:0.00203534
character 414	0:0.14758506; 1:0.85241494
character 415	0:0.00159521; 1:0.99840479
character 416	0:0.5; 1:0.5
character 417	0:0.08537079; 1:0.91462921
character 418	0:0.8416051; 1:0.1583949
character 419	0:0.84952492; 1:0.15047508
character 420	0:0.14758506; 1:0.85241494
character 421	0:0.14758506; 1:0.85241494
character 422	0:0.99843138; 1:0.00156862
character 423	0:0.84952492; 1:0.15047508
character 424	0:0.85241494; 1:0.14758506
character 425	0:0.99840479; 1:0.00159521
character 428	0:0.84952492; 1:0.15047508
character 429	0:0.00156862; 1:0.99843138
character 430	0:0.5; 1:0.5
character 431	0:0.5; 1:0.5
character 432	0:0.00159521; 1:0.99840479
character 433	0:0.99843138; 1:0.00156862
character 434	0:0.04055226; 1:0.95944774
character 435	0:0.9036519; 1:0.0963481
character 436	0:0.18858305; 1:0.81141695
character 437	0:0.1408749; 1:0.8591251
character 438	0:0.25503397; 1:0.74496603
character 439	0:0.04200474; 1:0.95799526
character 440	0:0.22372092; 1:0.77627908
character 441	0:0.08537079; 1:0.91462921
character 442	0:0.04200474; 1:0.95799526
character 443	0:0.90591531; 1:0.09408469
character 445	0:0.9898828; 1:0.0101172
character 446	0:0.09408469; 1:0.90591531
character 447	0:0.99859055; 1:0.00140945
character 448	0:0.5; 1:0.5
character 450	0:0.93009906; 1:0.06990094
character 451	0:0.00203534; 1:0.99796466
character 452	0:0.99859055; 1:0.00140945
character 454	0:0.00203534; 1:0.99796466
character 455	0:0.20616872; 1:0.79383128
character 456	0:0.5; 1:0.5
character 457	0:0.99840479; 1:0.00159521
character 458	0:0.09408469; 1:0.90591531
character 459	0:0.90365191; 1:0.09634809
character 460	0:0.84952492; 1:0.15047508
character 461	0:0.5; 1:0.5
character 462	0:0.99849706; 1:0.00150294
character 463	0:0.5; 1:0.5
character 464	0:0.08537079; 1:0.91462921
character 465	0:0.5; 1:0.5
character 466	0:0.5; 1:0.5
character 467	0:0.9898828; 1:0.0101172
character 468	0:0.9036519; 1:0.0963481
character 469	0:0.99843138; 1:0.00156862
character 470	0:0.00156862; 1:0.99843138
character 471	0:0.30009954; 1:0.69990046
character 472	0:0.5; 1:0.5
character 473	0:0.5; 1:0.5
character 474	0:0.99840479; 1:0.00159521
character 475	0:0.14758506; 1:0.85241494
character 476	0:0.90365191; 1:0.09634809
character 477	0:0.99849706; 1:0.00150294
character 478	0:0.00203534; 1:0.99796466
character 479	0:0.5; 1:0.5
character 480	0:0.5; 1:0.5
character 483	0:0.5; 1:0.5
character 484	0:0.08537079; 1:0.91462921
character 485	0:0.99840479; 1:0.00159521
character 486	0:0.90365191; 1:0.09634809
character 487	0:0.5; 1:0.5
character 488	0:0.5; 1:0.5
character 490	0:0.99849706; 1:0.00150294
character 491	0:0.04200474; 1:0.95799526
character 492	0:0.0101172; 1:0.9898828
character 493	0:0.08537079; 1:0.91462921
character 494	0:0.00159521; 1:0.99840479
character 495	0:0.04055226; 1:0.95944774
character 496	0:0.0101172; 1:0.9898828
character 497	0:0.99849706; 1:0.00150294
character 498	0:0.84952492; 1:0.15047508
character 499	0:0.68625674; 1:0.31374326
character 500	0:0.12198888; 1:0.87801112
character 501	0:0.99859055; 1:0.00140945
character 502	0:0.84952492; 1:0.15047508
character 503	0:0.18858305; 1:0.81141695
character 504	0:0.99843138; 1:0.00156862
character 505	0:0.99843138; 1:0.00156862
character 506	0:0.5; 1:0.5
character 507	0:0.99840479; 1:0.00159521
character 509	0:0.5; 1:0.5
character 510	0:0.1720113; 1:0.8279887
character 511	0:0.99843138; 1:0.00156862
character 512	0:0.9036519; 1:0.0963481
character 513	0:0.08537079; 1:0.91462921
character 514	0:0.08537079; 1:0.91462921
character 515	0:0.04200474; 1:0.95799526
character 517	0:0.90591531; 1:0.09408469
character 518	0:0.5; 1:0.5
character 519	0:0.5; 1:0.5
character 520	0:0.84952492; 1:0.15047508
character 522	0:0.00203534; 1:0.99796466
character 523	0:0.9898828; 1:0.0101172
character 525	0:0.00203534; 1:0.99796466
character 526	0:0.28879777; 1:0.71120223
character 527	0:0.99796466; 1:0.00203534
character 528	0:0.09408469; 1:0.90591531
